filename,distance
ER-numArg100-pbAtt0.95-8.apx,32
ER-numArg100-pbAtt0.25-15.apx,142
ER-numArg100-pbAtt0.7-5.apx,62
ER-numArg100-pbAtt0.45-1.apx,98
ER-numArg100-pbAtt0.9-13.apx,46
ER-numArg100-pbAtt0.3-16.apx,128
ER-numArg100-pbAtt0.4-11.apx,104
ER-numArg100-pbAtt0.35-14.apx,134
ER-numArg100-pbAtt0.7-4.apx,64
ER-numArg100-pbAtt0.9-18.apx,30
ER-numArg100-pbAtt0.15-17.apx,184
ER-numArg100-pbAtt0.75-5.apx,58
ER-numArg100-pbAtt0.95-15.apx,44
ER-numArg100-pbAtt0.65-6.apx,50
ER-numArg100-pbAtt0.75-11.apx,42
ER-numArg100-pbAtt0.2-4.apx,270
ER-numArg100-pbAtt0.5-6.apx,78
ER-numArg100-pbAtt0.15-15.apx,220
ER-numArg100-pbAtt0.8-1.apx,50
ER-numArg100-pbAtt0.55-16.apx,66
ER-numArg100-pbAtt0.55-9.apx,66
ER-numArg100-pbAtt0.8-5.apx,58
ER-numArg100-pbAtt0.7-17.apx,58
ER-numArg100-pbAtt0.25-6.apx,168
ER-numArg100-pbAtt0.5-1.apx,126
ER-numArg100-pbAtt0.35-1.apx,112
ER-numArg100-pbAtt0.85-5.apx,52
ER-numArg100-pbAtt0.35-17.apx,132
ER-numArg100-pbAtt0.25-4.apx,218
ER-numArg100-pbAtt0.3-12.apx,206
ER-numArg100-pbAtt0.15-5.apx,180
ER-numArg100-pbAtt0.75-15.apx,56
ER-numArg100-pbAtt0.5-17.apx,96
ER-numArg100-pbAtt0.6-1.apx,82
ER-numArg100-pbAtt0.15-7.apx,188
ER-numArg100-pbAtt0.3-15.apx,178
ER-numArg100-pbAtt0.85-7.apx,40
ER-numArg100-pbAtt0.75-13.apx,36
ER-numArg100-pbAtt0.4-16.apx,144
ER-numArg100-pbAtt0.9-2.apx,60
ER-numArg100-pbAtt0.3-1.apx,110
ER-numArg100-pbAtt0.2-2.apx,242
ER-numArg100-pbAtt0.95-3.apx,36
ER-numArg100-pbAtt0.95-0.apx,40
ER-numArg100-pbAtt0.65-12.apx,70
ER-numArg100-pbAtt0.3-0.apx,168
ER-numArg100-pbAtt0.45-5.apx,132
ER-numArg100-pbAtt0.35-8.apx,112
ER-numArg100-pbAtt0.9-11.apx,26
ER-numArg100-pbAtt0.25-3.apx,196
ER-numArg100-pbAtt0.65-2.apx,64
ER-numArg100-pbAtt0.35-9.apx,156
ER-numArg100-pbAtt0.75-2.apx,48
ER-numArg100-pbAtt0.8-14.apx,24
ER-numArg100-pbAtt0.85-18.apx,52
ER-numArg100-pbAtt0.2-12.apx,182
ER-numArg100-pbAtt0.95-13.apx,38
ER-numArg100-pbAtt0.9-0.apx,34
ER-numArg100-pbAtt0.5-9.apx,100
ER-numArg100-pbAtt0.55-15.apx,92
ER-numArg100-pbAtt0.6-18.apx,62
ER-numArg100-pbAtt0.95-6.apx,32
ER-numArg100-pbAtt0.5-18.apx,66
ER-numArg100-pbAtt0.45-16.apx,96
ER-numArg100-pbAtt0.85-10.apx,42
ER-numArg100-pbAtt0.5-13.apx,110
ER-numArg100-pbAtt0.95-1.apx,34
ER-numArg100-pbAtt0.6-3.apx,104
ER-numArg100-pbAtt0.45-18.apx,108
ER-numArg100-pbAtt0.15-2.apx,208
ER-numArg100-pbAtt0.15-0.apx,168
ER-numArg100-pbAtt0.7-16.apx,66
ER-numArg100-pbAtt0.4-15.apx,94
ER-numArg100-pbAtt0.75-12.apx,52
ER-numArg100-pbAtt0.3-9.apx,136
ER-numArg100-pbAtt0.45-2.apx,130
ER-numArg100-pbAtt0.45-0.apx,142
ER-numArg100-pbAtt0.3-7.apx,144
ER-numArg100-pbAtt0.2-15.apx,232
ER-numArg100-pbAtt0.25-9.apx,160
ER-numArg100-pbAtt0.8-17.apx,48
ER-numArg100-pbAtt0.5-10.apx,120
ER-numArg100-pbAtt0.4-6.apx,148
ER-numArg100-pbAtt0.6-5.apx,60
ER-numArg100-pbAtt0.9-7.apx,36
ER-numArg100-pbAtt0.8-18.apx,46
ER-numArg100-pbAtt0.15-4.apx,190
ER-numArg100-pbAtt0.9-8.apx,62
ER-numArg100-pbAtt0.75-4.apx,44
ER-numArg100-pbAtt0.3-2.apx,114
ER-numArg100-pbAtt0.4-14.apx,70
ER-numArg100-pbAtt0.25-7.apx,160
ER-numArg100-pbAtt0.5-5.apx,120
ER-numArg100-pbAtt0.7-3.apx,76
ER-numArg100-pbAtt0.6-10.apx,66
ER-numArg100-pbAtt0.65-7.apx,64
ER-numArg100-pbAtt0.5-2.apx,60
ER-numArg100-pbAtt0.85-17.apx,62
ER-numArg100-pbAtt0.85-15.apx,40
ER-numArg100-pbAtt0.8-4.apx,40
ER-numArg100-pbAtt0.45-8.apx,104
ER-numArg100-pbAtt0.4-12.apx,88
ER-numArg100-pbAtt0.2-5.apx,238
ER-numArg100-pbAtt0.25-17.apx,162
ER-numArg100-pbAtt0.65-3.apx,56
ER-numArg100-pbAtt0.65-0.apx,74
ER-numArg100-pbAtt0.15-8.apx,246
ER-numArg100-pbAtt0.25-12.apx,166
ER-numArg100-pbAtt0.35-3.apx,100
ER-numArg100-pbAtt0.55-6.apx,98
ER-numArg100-pbAtt0.85-14.apx,36
ER-numArg100-pbAtt0.55-12.apx,84
ER-numArg100-pbAtt0.3-14.apx,160
ER-numArg100-pbAtt0.25-8.apx,166
ER-numArg100-pbAtt0.6-4.apx,88
ER-numArg100-pbAtt0.45-10.apx,108
