filename,distance
ER-numArg100-pbAtt0.95-8.apx,56
ER-numArg100-pbAtt0.25-15.apx,216
ER-numArg100-pbAtt0.7-5.apx,158
ER-numArg100-pbAtt0.45-1.apx,204
ER-numArg100-pbAtt0.9-13.apx,86
ER-numArg100-pbAtt0.3-16.apx,222
ER-numArg100-pbAtt0.4-11.apx,198
ER-numArg100-pbAtt0.35-14.apx,206
ER-numArg100-pbAtt0.7-4.apx,142
ER-numArg100-pbAtt0.9-18.apx,60
ER-numArg100-pbAtt0.15-17.apx,270
ER-numArg100-pbAtt0.75-5.apx,90
ER-numArg100-pbAtt0.95-15.apx,46
ER-numArg100-pbAtt0.65-6.apx,126
ER-numArg100-pbAtt0.75-11.apx,106
ER-numArg100-pbAtt0.2-4.apx,358
ER-numArg100-pbAtt0.5-6.apx,168
ER-numArg100-pbAtt0.15-15.apx,324
ER-numArg100-pbAtt0.8-1.apx,106
ER-numArg100-pbAtt0.55-16.apx,192
ER-numArg100-pbAtt0.55-9.apx,144
ER-numArg100-pbAtt0.8-5.apx,126
ER-numArg100-pbAtt0.7-17.apx,104
ER-numArg100-pbAtt0.25-6.apx,274
ER-numArg100-pbAtt0.5-1.apx,212
ER-numArg100-pbAtt0.35-1.apx,224
ER-numArg100-pbAtt0.85-5.apx,104
ER-numArg100-pbAtt0.35-17.apx,156
ER-numArg100-pbAtt0.25-4.apx,336
ER-numArg100-pbAtt0.3-12.apx,364
ER-numArg100-pbAtt0.15-5.apx,280
ER-numArg100-pbAtt0.75-15.apx,128
ER-numArg100-pbAtt0.5-17.apx,110
ER-numArg100-pbAtt0.6-1.apx,150
ER-numArg100-pbAtt0.15-7.apx,294
ER-numArg100-pbAtt0.3-15.apx,240
ER-numArg100-pbAtt0.85-7.apx,82
ER-numArg100-pbAtt0.75-13.apx,124
ER-numArg100-pbAtt0.4-16.apx,274
ER-numArg100-pbAtt0.9-2.apx,120
ER-numArg100-pbAtt0.3-1.apx,180
ER-numArg100-pbAtt0.2-2.apx,310
ER-numArg100-pbAtt0.95-3.apx,46
ER-numArg100-pbAtt0.95-0.apx,106
ER-numArg100-pbAtt0.65-12.apx,192
ER-numArg100-pbAtt0.3-0.apx,230
ER-numArg100-pbAtt0.45-5.apx,190
ER-numArg100-pbAtt0.35-8.apx,226
ER-numArg100-pbAtt0.9-11.apx,94
ER-numArg100-pbAtt0.25-3.apx,292
ER-numArg100-pbAtt0.65-2.apx,112
ER-numArg100-pbAtt0.35-9.apx,220
ER-numArg100-pbAtt0.75-2.apx,76
ER-numArg100-pbAtt0.8-14.apx,96
ER-numArg100-pbAtt0.85-18.apx,118
ER-numArg100-pbAtt0.2-12.apx,298
ER-numArg100-pbAtt0.95-13.apx,146
ER-numArg100-pbAtt0.9-0.apx,104
ER-numArg100-pbAtt0.5-9.apx,180
ER-numArg100-pbAtt0.55-15.apx,178
ER-numArg100-pbAtt0.6-18.apx,156
ER-numArg100-pbAtt0.95-6.apx,84
ER-numArg100-pbAtt0.5-18.apx,140
ER-numArg100-pbAtt0.45-16.apx,202
ER-numArg100-pbAtt0.85-10.apx,94
ER-numArg100-pbAtt0.5-13.apx,204
ER-numArg100-pbAtt0.95-1.apx,40
ER-numArg100-pbAtt0.6-3.apx,180
ER-numArg100-pbAtt0.45-18.apx,188
ER-numArg100-pbAtt0.15-2.apx,266
ER-numArg100-pbAtt0.15-0.apx,274
ER-numArg100-pbAtt0.7-16.apx,144
ER-numArg100-pbAtt0.4-15.apx,170
ER-numArg100-pbAtt0.75-12.apx,136
ER-numArg100-pbAtt0.3-9.apx,190
ER-numArg100-pbAtt0.45-2.apx,208
ER-numArg100-pbAtt0.45-0.apx,268
ER-numArg100-pbAtt0.3-7.apx,226
ER-numArg100-pbAtt0.2-15.apx,232
ER-numArg100-pbAtt0.25-9.apx,270
ER-numArg100-pbAtt0.8-17.apx,118
ER-numArg100-pbAtt0.5-10.apx,232
ER-numArg100-pbAtt0.4-6.apx,240
ER-numArg100-pbAtt0.6-5.apx,164
ER-numArg100-pbAtt0.9-7.apx,70
ER-numArg100-pbAtt0.8-18.apx,108
ER-numArg100-pbAtt0.15-4.apx,250
ER-numArg100-pbAtt0.9-8.apx,92
ER-numArg100-pbAtt0.75-4.apx,102
ER-numArg100-pbAtt0.3-2.apx,274
ER-numArg100-pbAtt0.4-14.apx,206
ER-numArg100-pbAtt0.25-7.apx,214
ER-numArg100-pbAtt0.5-5.apx,258
ER-numArg100-pbAtt0.7-3.apx,134
ER-numArg100-pbAtt0.6-10.apx,130
ER-numArg100-pbAtt0.65-7.apx,128
ER-numArg100-pbAtt0.5-2.apx,108
ER-numArg100-pbAtt0.85-17.apx,146
ER-numArg100-pbAtt0.85-15.apx,74
ER-numArg100-pbAtt0.8-4.apx,104
ER-numArg100-pbAtt0.45-8.apx,224
ER-numArg100-pbAtt0.4-12.apx,158
ER-numArg100-pbAtt0.2-5.apx,262
ER-numArg100-pbAtt0.25-17.apx,244
ER-numArg100-pbAtt0.65-3.apx,220
ER-numArg100-pbAtt0.65-0.apx,224
ER-numArg100-pbAtt0.15-8.apx,312
ER-numArg100-pbAtt0.25-12.apx,220
