,0,0.25,0.5,0.75,1
0.5,0.6333333333333333,0.5666666666666667,0.6166666666666667,0.6666666666666666,0.5166666666666667
1.0,1.0,1.0,1.0,0.9833333333333333,1.0
5.0,0.5833333333333334,0.45,0.5,0.5166666666666667,0.45
10.0,0.5333333333333333,0.45,0.48333333333333334,0.43333333333333335,0.43333333333333335
