filename,distance
BA-numArg100-pbCycle0.15-6.apx,86
BA-numArg100-pbCycle0.7-11.apx,46
BA-numArg100-pbCycle0.7-4.apx,36
BA-numArg100-pbCycle0.7-13.apx,98
BA-numArg100-pbCycle0.5-13.apx,76
BA-numArg100-pbCycle0.45-12.apx,18
BA-numArg100-pbCycle0.4-7.apx,72
BA-numArg100-pbCycle0.55-12.apx,36
BA-numArg100-pbCycle0.5-2.apx,94
BA-numArg100-pbCycle0.35-1.apx,138
BA-numArg100-pbCycle0.15-3.apx,30
BA-numArg100-pbCycle0.6-3.apx,60
BA-numArg100-pbCycle0.8-14.apx,10
BA-numArg100-pbCycle0.2-0.apx,106
BA-numArg100-pbCycle0.55-13.apx,130
BA-numArg100-pbCycle0.2-6.apx,18
BA-numArg100-pbCycle0-1.apx,8
BA-numArg100-pbCycle0.85-12.apx,84
BA-numArg100-pbCycle0.15-12.apx,50
BA-numArg100-pbCycle0.85-3.apx,40
BA-numArg100-pbCycle0.65-11.apx,86
BA-numArg100-pbCycle0.9-15.apx,128
BA-numArg100-pbCycle0.3-8.apx,100
BA-numArg100-pbCycle0.9-4.apx,40
BA-numArg100-pbCycle0.3-10.apx,20
BA-numArg100-pbCycle0.8-12.apx,52
BA-numArg100-pbCycle0.35-16.apx,40
BA-numArg100-pbCycle0.85-2.apx,36
BA-numArg100-pbCycle0.45-4.apx,52
BA-numArg100-pbCycle0.6-13.apx,180
BA-numArg100-pbCycle0.4-9.apx,48
BA-numArg100-pbCycle0.85-11.apx,14
BA-numArg100-pbCycle0.35-15.apx,54
BA-numArg100-pbCycle0.8-0.apx,48
BA-numArg100-pbCycle0.4-15.apx,22
BA-numArg100-pbCycle0.2-9.apx,92
BA-numArg100-pbCycle0.85-6.apx,26
BA-numArg100-pbCycle0.5-16.apx,50
BA-numArg100-pbCycle0-13.apx,24
BA-numArg100-pbCycle0.05-1.apx,0
BA-numArg100-pbCycle0.9-3.apx,32
BA-numArg100-pbCycle0.2-3.apx,60
BA-numArg100-pbCycle0.65-2.apx,48
BA-numArg100-pbCycle0.7-5.apx,78
BA-numArg100-pbCycle0.75-5.apx,50
BA-numArg100-pbCycle0.75-11.apx,40
BA-numArg100-pbCycle0.6-1.apx,48
BA-numArg100-pbCycle0.9-9.apx,64
BA-numArg100-pbCycle0.55-9.apx,64
BA-numArg100-pbCycle0.65-16.apx,94
BA-numArg100-pbCycle0-7.apx,82
BA-numArg100-pbCycle0.75-1.apx,64
BA-numArg100-pbCycle0.45-2.apx,80
BA-numArg100-pbCycle0.9-5.apx,20
BA-numArg100-pbCycle0.6-14.apx,22
BA-numArg100-pbCycle0.4-11.apx,86
BA-numArg100-pbCycle0.55-1.apx,16
BA-numArg100-pbCycle0.45-15.apx,74
BA-numArg100-pbCycle0.75-7.apx,124
BA-numArg100-pbCycle0.3-16.apx,20
BA-numArg100-pbCycle0.1-3.apx,6
BA-numArg100-pbCycle0.6-7.apx,48
BA-numArg100-pbCycle0.75-14.apx,38
BA-numArg100-pbCycle0.05-14.apx,74
BA-numArg100-pbCycle0.4-8.apx,78
BA-numArg100-pbCycle0.65-8.apx,52
BA-numArg100-pbCycle0.1-0.apx,50
BA-numArg100-pbCycle0.45-14.apx,118
BA-numArg100-pbCycle0.65-0.apx,52
BA-numArg100-pbCycle0.25-3.apx,72
BA-numArg100-pbCycle0.85-14.apx,28
BA-numArg100-pbCycle0.1-15.apx,26
BA-numArg100-pbCycle0.65-13.apx,38
BA-numArg100-pbCycle0.1-5.apx,54
BA-numArg100-pbCycle0.25-10.apx,50
BA-numArg100-pbCycle0.3-7.apx,62
BA-numArg100-pbCycle0.25-4.apx,16
BA-numArg100-pbCycle0.75-16.apx,54
BA-numArg100-pbCycle0.75-10.apx,48
BA-numArg100-pbCycle0.05-6.apx,90
BA-numArg100-pbCycle0-16.apx,146
BA-numArg100-pbCycle0.75-12.apx,48
BA-numArg100-pbCycle0.35-2.apx,42
BA-numArg100-pbCycle0.9-0.apx,30
BA-numArg100-pbCycle0.2-2.apx,42
BA-numArg100-pbCycle0.1-1.apx,6
BA-numArg100-pbCycle0.55-2.apx,50
BA-numArg100-pbCycle0.05-3.apx,106
BA-numArg100-pbCycle0-10.apx,28
