filename,distance
BA-numArg100-pbCycle0.15-6.apx,112
BA-numArg100-pbCycle0.7-11.apx,282
BA-numArg100-pbCycle0.7-4.apx,420
BA-numArg100-pbCycle0.7-13.apx,466
BA-numArg100-pbCycle0.5-13.apx,556
BA-numArg100-pbCycle0.45-12.apx,248
BA-numArg100-pbCycle0.4-7.apx,516
BA-numArg100-pbCycle0.55-12.apx,176
BA-numArg100-pbCycle0.5-2.apx,342
BA-numArg100-pbCycle0.35-1.apx,262
BA-numArg100-pbCycle0.15-3.apx,160
BA-numArg100-pbCycle0.6-3.apx,532
BA-numArg100-pbCycle0.8-14.apx,100
BA-numArg100-pbCycle0.2-0.apx,134
BA-numArg100-pbCycle0.55-13.apx,230
BA-numArg100-pbCycle0.2-6.apx,70
BA-numArg100-pbCycle0-1.apx,70
BA-numArg100-pbCycle0.85-12.apx,298
BA-numArg100-pbCycle0.15-12.apx,76
BA-numArg100-pbCycle0.85-3.apx,154
BA-numArg100-pbCycle0.65-11.apx,498
BA-numArg100-pbCycle0.9-15.apx,218
BA-numArg100-pbCycle0.3-8.apx,438
BA-numArg100-pbCycle0.9-4.apx,216
BA-numArg100-pbCycle0.3-10.apx,300
BA-numArg100-pbCycle0.8-12.apx,200
BA-numArg100-pbCycle0.35-16.apx,172
BA-numArg100-pbCycle0.85-2.apx,152
BA-numArg100-pbCycle0.45-4.apx,410
BA-numArg100-pbCycle0.6-13.apx,400
BA-numArg100-pbCycle0.4-9.apx,238
BA-numArg100-pbCycle0.85-11.apx,282
BA-numArg100-pbCycle0.35-15.apx,492
BA-numArg100-pbCycle0.8-0.apx,334
BA-numArg100-pbCycle0.4-15.apx,246
BA-numArg100-pbCycle0.2-9.apx,204
BA-numArg100-pbCycle0.85-6.apx,404
BA-numArg100-pbCycle0.5-16.apx,310
BA-numArg100-pbCycle0-13.apx,4
BA-numArg100-pbCycle0.05-1.apx,36
BA-numArg100-pbCycle0.9-3.apx,244
BA-numArg100-pbCycle0.2-3.apx,98
BA-numArg100-pbCycle0.65-2.apx,758
BA-numArg100-pbCycle0.7-5.apx,190
BA-numArg100-pbCycle0.75-5.apx,300
BA-numArg100-pbCycle0.75-11.apx,356
BA-numArg100-pbCycle0.6-1.apx,66
BA-numArg100-pbCycle0.9-9.apx,194
BA-numArg100-pbCycle0.55-9.apx,226
BA-numArg100-pbCycle0.65-16.apx,408
BA-numArg100-pbCycle0-7.apx,242
BA-numArg100-pbCycle0.75-1.apx,228
BA-numArg100-pbCycle0.45-2.apx,412
BA-numArg100-pbCycle0.9-5.apx,234
BA-numArg100-pbCycle0.6-14.apx,90
BA-numArg100-pbCycle0.4-11.apx,138
BA-numArg100-pbCycle0.55-1.apx,232
BA-numArg100-pbCycle0.45-15.apx,486
