filename,distance
BA-numArg100-pbCycle0.15-6.apx,118
BA-numArg100-pbCycle0.7-11.apx,354
BA-numArg100-pbCycle0.7-4.apx,420
BA-numArg100-pbCycle0.7-13.apx,540
BA-numArg100-pbCycle0.5-13.apx,592
BA-numArg100-pbCycle0.45-12.apx,298
BA-numArg100-pbCycle0.4-7.apx,558
BA-numArg100-pbCycle0.55-12.apx,188
BA-numArg100-pbCycle0.5-2.apx,408
BA-numArg100-pbCycle0.35-1.apx,336
BA-numArg100-pbCycle0.15-3.apx,164
BA-numArg100-pbCycle0.6-3.apx,584
BA-numArg100-pbCycle0.8-14.apx,98
BA-numArg100-pbCycle0.2-0.apx,156
BA-numArg100-pbCycle0.55-13.apx,360
BA-numArg100-pbCycle0.2-6.apx,74
BA-numArg100-pbCycle0-1.apx,72
BA-numArg100-pbCycle0.85-12.apx,382
BA-numArg100-pbCycle0.15-12.apx,88
BA-numArg100-pbCycle0.85-3.apx,152
BA-numArg100-pbCycle0.65-11.apx,526
BA-numArg100-pbCycle0.9-15.apx,258
BA-numArg100-pbCycle0.3-8.apx,572
BA-numArg100-pbCycle0.9-4.apx,236
BA-numArg100-pbCycle0.3-10.apx,432
BA-numArg100-pbCycle0.8-12.apx,210
BA-numArg100-pbCycle0.35-16.apx,178
BA-numArg100-pbCycle0.85-2.apx,188
BA-numArg100-pbCycle0.45-4.apx,416
BA-numArg100-pbCycle0.6-13.apx,428
BA-numArg100-pbCycle0.4-9.apx,262
BA-numArg100-pbCycle0.85-11.apx,488
BA-numArg100-pbCycle0.35-15.apx,522
BA-numArg100-pbCycle0.8-0.apx,508
BA-numArg100-pbCycle0.4-15.apx,304
BA-numArg100-pbCycle0.2-9.apx,226
BA-numArg100-pbCycle0.85-6.apx,444
BA-numArg100-pbCycle0.5-16.apx,366
BA-numArg100-pbCycle0-13.apx,4
BA-numArg100-pbCycle0.05-1.apx,36
BA-numArg100-pbCycle0.9-3.apx,286
BA-numArg100-pbCycle0.2-3.apx,110
BA-numArg100-pbCycle0.65-2.apx,826
BA-numArg100-pbCycle0.7-5.apx,262
BA-numArg100-pbCycle0.75-5.apx,310
BA-numArg100-pbCycle0.75-11.apx,396
BA-numArg100-pbCycle0.6-1.apx,144
BA-numArg100-pbCycle0.9-9.apx,224
BA-numArg100-pbCycle0.55-9.apx,252
BA-numArg100-pbCycle0.65-16.apx,432
BA-numArg100-pbCycle0-7.apx,252
BA-numArg100-pbCycle0.75-1.apx,310
BA-numArg100-pbCycle0.45-2.apx,462
BA-numArg100-pbCycle0.9-5.apx,394
BA-numArg100-pbCycle0.6-14.apx,96
BA-numArg100-pbCycle0.4-11.apx,144
BA-numArg100-pbCycle0.55-1.apx,268
BA-numArg100-pbCycle0.45-15.apx,570
BA-numArg100-pbCycle0.75-7.apx,224
BA-numArg100-pbCycle0.3-16.apx,366
BA-numArg100-pbCycle0.1-3.apx,80
BA-numArg100-pbCycle0.6-7.apx,314
BA-numArg100-pbCycle0.75-14.apx,440
BA-numArg100-pbCycle0.05-14.apx,28
BA-numArg100-pbCycle0.4-8.apx,196
BA-numArg100-pbCycle0.65-8.apx,142
BA-numArg100-pbCycle0.1-0.apx,220
BA-numArg100-pbCycle0.45-14.apx,392
BA-numArg100-pbCycle0.65-0.apx,380
BA-numArg100-pbCycle0.25-3.apx,178
BA-numArg100-pbCycle0.85-14.apx,184
BA-numArg100-pbCycle0.1-15.apx,90
BA-numArg100-pbCycle0.65-13.apx,532
BA-numArg100-pbCycle0.1-5.apx,186
BA-numArg100-pbCycle0.25-10.apx,576
BA-numArg100-pbCycle0.3-7.apx,146
BA-numArg100-pbCycle0.25-4.apx,276
BA-numArg100-pbCycle0.75-16.apx,560
BA-numArg100-pbCycle0.75-10.apx,412
BA-numArg100-pbCycle0.05-6.apx,270
BA-numArg100-pbCycle0-16.apx,26
BA-numArg100-pbCycle0.75-12.apx,334
BA-numArg100-pbCycle0.35-2.apx,202
BA-numArg100-pbCycle0.9-0.apx,482
BA-numArg100-pbCycle0.2-2.apx,328
BA-numArg100-pbCycle0.1-1.apx,138
BA-numArg100-pbCycle0.55-2.apx,340
BA-numArg100-pbCycle0.05-3.apx,102
BA-numArg100-pbCycle0-10.apx,18
BA-numArg100-pbCycle0.45-16.apx,468
BA-numArg100-pbCycle0.1-16.apx,54
BA-numArg100-pbCycle0.8-15.apx,240
BA-numArg100-pbCycle0.05-4.apx,36
BA-numArg100-pbCycle0.4-5.apx,354
BA-numArg100-pbCycle0.3-9.apx,800
BA-numArg100-pbCycle0.7-10.apx,238
BA-numArg100-pbCycle0.85-15.apx,352
BA-numArg100-pbCycle0.35-7.apx,270
BA-numArg100-pbCycle0.1-14.apx,172
BA-numArg100-pbCycle0.35-0.apx,92
BA-numArg100-pbCycle0-3.apx,52
BA-numArg100-pbCycle0.5-10.apx,396
BA-numArg100-pbCycle0.5-8.apx,302
BA-numArg100-pbCycle0.7-12.apx,826
