filename,distance
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-2.apx,208
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-2.apx,304
WS-numArg100-pbCycle0.25-beta0.75-baseDegree80-2.apx,78
WS-numArg100-pbCycle0.75-beta0.25-baseDegree20-4.apx,294
WS-numArg100-pbCycle0.75-beta0-baseDegree80-3.apx,68
WS-numArg100-pbCycle0.25-beta0-baseDegree80-3.apx,82
WS-numArg100-pbCycle0.5-beta1-baseDegree60-4.apx,204
WS-numArg100-pbCycle0.5-beta1-baseDegree60-2.apx,106
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-4.apx,214
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-3.apx,196
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-4.apx,176
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-0.apx,158
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-3.apx,226
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-2.apx,332
WS-numArg100-pbCycle0.25-beta0-baseDegree20-1.apx,202
WS-numArg100-pbCycle0.5-beta0.25-baseDegree20-2.apx,192
WS-numArg100-pbCycle0.75-beta1-baseDegree60-3.apx,190
WS-numArg100-pbCycle0.25-beta0-baseDegree40-2.apx,164
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-4.apx,278
WS-numArg100-pbCycle0.5-beta0-baseDegree60-3.apx,98
WS-numArg100-pbCycle0.5-beta0-baseDegree80-0.apx,118
WS-numArg100-pbCycle0.75-beta1-baseDegree60-4.apx,158
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-0.apx,268
WS-numArg100-pbCycle0.5-beta1-baseDegree60-0.apx,174
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-3.apx,202
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-2.apx,146
WS-numArg100-pbCycle0.75-beta0-baseDegree60-2.apx,62
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-3.apx,236
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-4.apx,138
WS-numArg100-pbCycle0.75-beta0-baseDegree60-3.apx,132
WS-numArg100-pbCycle0.5-beta0.25-baseDegree80-2.apx,70
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-0.apx,168
WS-numArg100-pbCycle0.25-beta1-baseDegree20-3.apx,346
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-0.apx,48
WS-numArg100-pbCycle0.25-beta1-baseDegree80-0.apx,96
WS-numArg100-pbCycle0.75-beta0.75-baseDegree20-1.apx,280
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-2.apx,222
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-1.apx,228
WS-numArg100-pbCycle0.25-beta0.75-baseDegree20-1.apx,268
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-1.apx,158
WS-numArg100-pbCycle0.25-beta1-baseDegree20-2.apx,300
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-0.apx,216
WS-numArg100-pbCycle0.25-beta0-baseDegree80-1.apx,174
WS-numArg100-pbCycle0.75-beta0-baseDegree20-4.apx,242
WS-numArg100-pbCycle0.25-beta0.75-baseDegree60-2.apx,146
WS-numArg100-pbCycle0.25-beta1-baseDegree40-4.apx,200
WS-numArg100-pbCycle0.5-beta0-baseDegree60-0.apx,76
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-1.apx,176
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-0.apx,144
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-1.apx,150
WS-numArg100-pbCycle0.5-beta1-baseDegree20-3.apx,292
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-0.apx,100
WS-numArg100-pbCycle0.25-beta0-baseDegree60-4.apx,86
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-0.apx,84
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-2.apx,160
WS-numArg100-pbCycle0.5-beta1-baseDegree40-1.apx,140
WS-numArg100-pbCycle0.75-beta0-baseDegree40-0.apx,112
WS-numArg100-pbCycle0.5-beta0.25-baseDegree40-1.apx,180
WS-numArg100-pbCycle0.25-beta1-baseDegree40-2.apx,202
WS-numArg100-pbCycle0.5-beta1-baseDegree60-3.apx,158
WS-numArg100-pbCycle0.25-beta0.5-baseDegree20-2.apx,308
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-3.apx,186
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-4.apx,172
WS-numArg100-pbCycle0.5-beta0.25-baseDegree60-2.apx,196
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-2.apx,140
WS-numArg100-pbCycle0.25-beta0.5-baseDegree80-3.apx,94
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-3.apx,150
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-1.apx,174
WS-numArg100-pbCycle0.5-beta0.5-baseDegree80-3.apx,116
