filename,distance
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-2.apx,198
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-2.apx,282
WS-numArg100-pbCycle0.25-beta0.75-baseDegree80-2.apx,76
WS-numArg100-pbCycle0.75-beta0.25-baseDegree20-4.apx,272
WS-numArg100-pbCycle0.75-beta0-baseDegree80-3.apx,64
WS-numArg100-pbCycle0.25-beta0-baseDegree80-3.apx,82
WS-numArg100-pbCycle0.5-beta1-baseDegree60-4.apx,182
WS-numArg100-pbCycle0.5-beta1-baseDegree60-2.apx,94
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-4.apx,184
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-3.apx,178
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-4.apx,164
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-0.apx,146
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-3.apx,208
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-2.apx,288
WS-numArg100-pbCycle0.25-beta0-baseDegree20-1.apx,188
WS-numArg100-pbCycle0.5-beta0.25-baseDegree20-2.apx,172
WS-numArg100-pbCycle0.75-beta1-baseDegree60-3.apx,178
WS-numArg100-pbCycle0.25-beta0-baseDegree40-2.apx,152
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-4.apx,242
WS-numArg100-pbCycle0.5-beta0-baseDegree60-3.apx,94
WS-numArg100-pbCycle0.5-beta0-baseDegree80-0.apx,104
WS-numArg100-pbCycle0.75-beta1-baseDegree60-4.apx,140
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-0.apx,248
WS-numArg100-pbCycle0.5-beta1-baseDegree60-0.apx,160
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-3.apx,180
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-2.apx,136
WS-numArg100-pbCycle0.75-beta0-baseDegree60-2.apx,58
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-3.apx,210
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-4.apx,116
WS-numArg100-pbCycle0.75-beta0-baseDegree60-3.apx,120
WS-numArg100-pbCycle0.5-beta0.25-baseDegree80-2.apx,66
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-0.apx,158
WS-numArg100-pbCycle0.25-beta1-baseDegree20-3.apx,304
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-0.apx,44
WS-numArg100-pbCycle0.25-beta1-baseDegree80-0.apx,86
WS-numArg100-pbCycle0.75-beta0.75-baseDegree20-1.apx,246
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-2.apx,198
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-1.apx,204
WS-numArg100-pbCycle0.25-beta0.75-baseDegree20-1.apx,238
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-1.apx,152
WS-numArg100-pbCycle0.25-beta1-baseDegree20-2.apx,268
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-0.apx,198
WS-numArg100-pbCycle0.25-beta0-baseDegree80-1.apx,148
WS-numArg100-pbCycle0.75-beta0-baseDegree20-4.apx,218
WS-numArg100-pbCycle0.25-beta0.75-baseDegree60-2.apx,132
WS-numArg100-pbCycle0.25-beta1-baseDegree40-4.apx,176
WS-numArg100-pbCycle0.5-beta0-baseDegree60-0.apx,74
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-1.apx,158
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-0.apx,130
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-1.apx,142
WS-numArg100-pbCycle0.5-beta1-baseDegree20-3.apx,270
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-0.apx,96
WS-numArg100-pbCycle0.25-beta0-baseDegree60-4.apx,84
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-0.apx,76
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-2.apx,142
WS-numArg100-pbCycle0.5-beta1-baseDegree40-1.apx,120
WS-numArg100-pbCycle0.75-beta0-baseDegree40-0.apx,110
WS-numArg100-pbCycle0.5-beta0.25-baseDegree40-1.apx,158
WS-numArg100-pbCycle0.25-beta1-baseDegree40-2.apx,182
WS-numArg100-pbCycle0.5-beta1-baseDegree60-3.apx,138
WS-numArg100-pbCycle0.25-beta0.5-baseDegree20-2.apx,270
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-3.apx,168
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-4.apx,160
WS-numArg100-pbCycle0.5-beta0.25-baseDegree60-2.apx,184
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-2.apx,120
WS-numArg100-pbCycle0.25-beta0.5-baseDegree80-3.apx,90
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-3.apx,136
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-1.apx,152
WS-numArg100-pbCycle0.5-beta0.5-baseDegree80-3.apx,104
WS-numArg100-pbCycle0.75-beta1-baseDegree80-3.apx,178
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-1.apx,166
WS-numArg100-pbCycle0.75-beta1-baseDegree20-1.apx,222
WS-numArg100-pbCycle0.25-beta1-baseDegree60-4.apx,82
