filename,distance
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-2.apx,96
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-2.apx,238
WS-numArg100-pbCycle0.25-beta0.75-baseDegree80-2.apx,30
WS-numArg100-pbCycle0.75-beta0.25-baseDegree20-4.apx,206
WS-numArg100-pbCycle0.75-beta0-baseDegree80-3.apx,44
WS-numArg100-pbCycle0.25-beta0-baseDegree80-3.apx,40
WS-numArg100-pbCycle0.5-beta1-baseDegree60-4.apx,84
WS-numArg100-pbCycle0.5-beta1-baseDegree60-2.apx,56
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-4.apx,98
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-3.apx,96
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-4.apx,100
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-0.apx,78
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-3.apx,218
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-2.apx,170
WS-numArg100-pbCycle0.25-beta0-baseDegree20-1.apx,134
WS-numArg100-pbCycle0.5-beta0.25-baseDegree20-2.apx,180
WS-numArg100-pbCycle0.75-beta1-baseDegree60-3.apx,78
WS-numArg100-pbCycle0.25-beta0-baseDegree40-2.apx,120
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-4.apx,134
WS-numArg100-pbCycle0.5-beta0-baseDegree60-3.apx,60
WS-numArg100-pbCycle0.5-beta0-baseDegree80-0.apx,38
WS-numArg100-pbCycle0.75-beta1-baseDegree60-4.apx,76
WS-numArg100-pbCycle0.75-beta0.5-baseDegree20-0.apx,218
WS-numArg100-pbCycle0.5-beta1-baseDegree60-0.apx,74
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-3.apx,118
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-2.apx,50
WS-numArg100-pbCycle0.75-beta0-baseDegree60-2.apx,38
WS-numArg100-pbCycle0.25-beta0.25-baseDegree20-3.apx,178
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-4.apx,62
WS-numArg100-pbCycle0.75-beta0-baseDegree60-3.apx,40
WS-numArg100-pbCycle0.5-beta0.25-baseDegree80-2.apx,52
WS-numArg100-pbCycle0.5-beta0.5-baseDegree40-0.apx,88
WS-numArg100-pbCycle0.25-beta1-baseDegree20-3.apx,174
WS-numArg100-pbCycle0.5-beta0.75-baseDegree80-0.apx,48
WS-numArg100-pbCycle0.25-beta1-baseDegree80-0.apx,58
WS-numArg100-pbCycle0.75-beta0.75-baseDegree20-1.apx,218
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-2.apx,92
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-1.apx,130
WS-numArg100-pbCycle0.25-beta0.75-baseDegree20-1.apx,164
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-1.apx,56
WS-numArg100-pbCycle0.25-beta1-baseDegree20-2.apx,212
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-0.apx,114
WS-numArg100-pbCycle0.25-beta0-baseDegree80-1.apx,78
WS-numArg100-pbCycle0.75-beta0-baseDegree20-4.apx,210
WS-numArg100-pbCycle0.25-beta0.75-baseDegree60-2.apx,72
WS-numArg100-pbCycle0.25-beta1-baseDegree40-4.apx,128
WS-numArg100-pbCycle0.5-beta0-baseDegree60-0.apx,46
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-1.apx,138
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-0.apx,62
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-1.apx,56
WS-numArg100-pbCycle0.5-beta1-baseDegree20-3.apx,256
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-0.apx,56
WS-numArg100-pbCycle0.25-beta0-baseDegree60-4.apx,54
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-0.apx,32
WS-numArg100-pbCycle0.5-beta0.5-baseDegree60-2.apx,56
WS-numArg100-pbCycle0.5-beta1-baseDegree40-1.apx,90
WS-numArg100-pbCycle0.75-beta0-baseDegree40-0.apx,112
WS-numArg100-pbCycle0.5-beta0.25-baseDegree40-1.apx,104
WS-numArg100-pbCycle0.25-beta1-baseDegree40-2.apx,74
WS-numArg100-pbCycle0.5-beta1-baseDegree60-3.apx,64
WS-numArg100-pbCycle0.25-beta0.5-baseDegree20-2.apx,218
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-3.apx,96
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-4.apx,72
WS-numArg100-pbCycle0.5-beta0.25-baseDegree60-2.apx,72
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-2.apx,66
WS-numArg100-pbCycle0.25-beta0.5-baseDegree80-3.apx,32
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-3.apx,68
WS-numArg100-pbCycle0.75-beta0.25-baseDegree80-1.apx,80
WS-numArg100-pbCycle0.5-beta0.5-baseDegree80-3.apx,66
WS-numArg100-pbCycle0.75-beta1-baseDegree80-3.apx,90
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-1.apx,102
WS-numArg100-pbCycle0.75-beta1-baseDegree20-1.apx,218
WS-numArg100-pbCycle0.25-beta1-baseDegree60-4.apx,60
WS-numArg100-pbCycle0.5-beta0-baseDegree20-0.apx,168
WS-numArg100-pbCycle0.5-beta0-baseDegree20-1.apx,206
WS-numArg100-pbCycle0.5-beta0-baseDegree40-3.apx,96
WS-numArg100-pbCycle0.75-beta0-baseDegree20-1.apx,122
WS-numArg100-pbCycle0.5-beta0.25-baseDegree40-4.apx,106
WS-numArg100-pbCycle0.5-beta0.75-baseDegree40-2.apx,132
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-3.apx,62
WS-numArg100-pbCycle0.25-beta0.5-baseDegree40-0.apx,106
WS-numArg100-pbCycle0.5-beta0.25-baseDegree80-0.apx,54
WS-numArg100-pbCycle0.5-beta0.25-baseDegree60-3.apx,52
WS-numArg100-pbCycle0.25-beta0.5-baseDegree20-0.apx,308
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-1.apx,88
WS-numArg100-pbCycle0.75-beta0.75-baseDegree20-3.apx,172
WS-numArg100-pbCycle0.25-beta0-baseDegree60-3.apx,86
WS-numArg100-pbCycle0.25-beta0.75-baseDegree60-0.apx,60
WS-numArg100-pbCycle0.75-beta0.75-baseDegree40-4.apx,136
WS-numArg100-pbCycle0.5-beta1-baseDegree20-0.apx,246
WS-numArg100-pbCycle0.25-beta0.75-baseDegree80-3.apx,34
WS-numArg100-pbCycle0.25-beta0.25-baseDegree40-1.apx,102
WS-numArg100-pbCycle0.75-beta0.5-baseDegree60-3.apx,60
WS-numArg100-pbCycle0.75-beta1-baseDegree80-2.apx,66
WS-numArg100-pbCycle0.5-beta1-baseDegree20-2.apx,256
WS-numArg100-pbCycle0.5-beta0-baseDegree60-2.apx,56
WS-numArg100-pbCycle0.25-beta0-baseDegree40-4.apx,78
WS-numArg100-pbCycle0.75-beta0.5-baseDegree80-2.apx,30
WS-numArg100-pbCycle0.25-beta1-baseDegree80-1.apx,64
WS-numArg100-pbCycle0.75-beta1-baseDegree80-4.apx,60
WS-numArg100-pbCycle0.5-beta0.5-baseDegree80-2.apx,50
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-3.apx,60
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-1.apx,56
WS-numArg100-pbCycle0.75-beta0.75-baseDegree80-0.apx,56
WS-numArg100-pbCycle0.25-beta0-baseDegree40-0.apx,82
WS-numArg100-pbCycle0.25-beta1-baseDegree20-0.apx,210
WS-numArg100-pbCycle0.25-beta0.75-baseDegree20-4.apx,150
WS-numArg100-pbCycle0.25-beta0.25-baseDegree80-3.apx,38
WS-numArg100-pbCycle0.75-beta0.75-baseDegree80-2.apx,64
WS-numArg100-pbCycle0.5-beta0.75-baseDegree20-4.apx,184
WS-numArg100-pbCycle0.5-beta0.75-baseDegree60-2.apx,116
WS-numArg100-pbCycle0.25-beta0-baseDegree60-2.apx,46
WS-numArg100-pbCycle0.75-beta1-baseDegree20-2.apx,218
WS-numArg100-pbCycle0.25-beta0.5-baseDegree40-1.apx,90
WS-numArg100-pbCycle0.25-beta0.25-baseDegree60-1.apx,88
WS-numArg100-pbCycle0.5-beta0.25-baseDegree80-1.apx,52
WS-numArg100-pbCycle0.25-beta0.75-baseDegree40-0.apx,162
WS-numArg100-pbCycle0.75-beta0-baseDegree80-0.apx,46
WS-numArg100-pbCycle0.25-beta0-baseDegree40-1.apx,88
WS-numArg100-pbCycle0.5-beta0-baseDegree80-1.apx,46
WS-numArg100-pbCycle0.25-beta0.25-baseDegree80-1.apx,44
WS-numArg100-pbCycle0.5-beta0-baseDegree40-0.apx,112
WS-numArg100-pbCycle0.5-beta0.25-baseDegree60-0.apx,72
WS-numArg100-pbCycle0.25-beta1-baseDegree80-3.apx,32
WS-numArg100-pbCycle0.25-beta0.75-baseDegree60-4.apx,76
WS-numArg100-pbCycle0.75-beta0.5-baseDegree40-3.apx,116
WS-numArg100-pbCycle0.75-beta1-baseDegree40-2.apx,138
WS-numArg100-pbCycle0.75-beta0.5-baseDegree80-3.apx,52
WS-numArg100-pbCycle0.5-beta0.5-baseDegree20-0.apx,238
WS-numArg100-pbCycle0.25-beta1-baseDegree20-4.apx,282
WS-numArg100-pbCycle0.5-beta0-baseDegree60-1.apx,72
WS-numArg100-pbCycle0.25-beta0.5-baseDegree60-4.apx,98
WS-numArg100-pbCycle0.75-beta0.25-baseDegree60-4.apx,54
